Market,Shipments,Actual_High_Delay_Shipments,Predicted_High_Delay_Shipments,Average_Actual_Delay,Average_Predicted_Delay,Actual_High_Delay_Percentage,Predicted_High_Delay_Percentage
Europe,10215,2406,2014,0.5721977484092021,0.5700631585076896,23.55359765051395,19.716103768967205
Pacific Asia,8093,1944,1601,0.5809959224020759,0.5691512312719627,24.020758680341036,19.782528110712963
USCA,5250,1232,1049,0.5500952380952381,0.5669015187343223,23.466666666666665,19.98095238095238
LATAM,10246,2404,1942,0.5609018153425727,0.5580642196175823,23.462814756978332,18.953738044114775
Africa,2300,513,420,0.5143478260869565,0.5460182811940929,22.304347826086957,18.26086956521739
