Market,Shipments,Average_Actual_Delay,Average_Predicted_Delay,Actual_High_Delay_Shipments,Predicted_High_Delay_Shipments,Actual_High_Delay_Percentage,Predicted_High_Delay_Percentage,Priority
USCA,5250,0.5500952380952381,0.5669015187343223,1232,1049,23.466666666666665,19.98095238095238,Monitor
Pacific Asia,8093,0.5809959224020759,0.5691512312719627,1944,1601,24.020758680341036,19.782528110712963,Monitor
Europe,10215,0.5721977484092021,0.5700631585076896,2406,2014,23.55359765051395,19.716103768967205,Monitor
LATAM,10246,0.5609018153425727,0.5580642196175823,2404,1942,23.462814756978332,18.953738044114775,Normal
Africa,2300,0.5143478260869565,0.5460182811940929,513,420,22.304347826086957,18.26086956521739,Normal
