Market,Orders,Total_Sales,Average_Sales,Average_Profit,Late_Risk,Late_Risk_Percentage
Europe,50252,10872396.79565504,216.357494142622,23.271570504614882,0.552077529252567,55.207752925256706
LATAM,51594,10277612.840942344,199.20170641823358,21.772330338635154,0.5435515757646238,54.355157576462375
Pacific Asia,41260,8273743.740617017,200.52699322872073,20.788983061248157,0.5504604944255937,55.04604944255937
USCA,25799,5066528.710962289,196.3846936300744,21.87347495567107,0.5480057366564596,54.800573665645956
Africa,11614,2294452.925203156,197.55923240943312,21.704079565390995,0.5458928878939211,54.58928878939211
