,Days for shipping (real),Days for shipment (scheduled),Sales,Order Item Quantity,Order Item Discount,Order Item Profit Ratio,Order Profit Per Order,Late_delivery_risk
Days for shipping (real),1.0,0.5158800202898479,0.0019620119142437628,-0.0008108618424837517,0.0022313067372469694,-0.00463797349273981,-0.005101290470788441,0.40141493011152174
Days for shipment (scheduled),0.5158800202898479,1.0,0.006326585131127257,-0.0029246173630037993,0.0028973596707034836,-0.0018215171419830216,-0.0001850376008131785,-0.3693517719633492
Sales,0.0019620119142437628,0.006326585131127257,1.0,0.10644204034079763,0.6174376349284983,-0.0017658655760953918,0.13181558933672993,-0.0035643605069140575
Order Item Quantity,-0.0008108618424837517,-0.0029246173630037993,0.10644204034079763,1.0,0.06537934438726922,0.0011277464737170046,0.015696218982199184,-0.00013923280125116683
Order Item Discount,0.0022313067372469694,0.0028973596707034836,0.6174376349284983,0.06537934438726922,1.0,-0.0027883846461361768,0.0647559159405851,-0.0007499082512329902
Order Item Profit Ratio,-0.00463797349273981,-0.0018215171419830216,-0.0017658655760953918,0.0011277464737170046,-0.0027883846461361768,1.0,0.8236894583263351,-0.002315501081257859
Order Profit Per Order,-0.005101290470788441,-0.0001850376008131785,0.13181558933672993,0.015696218982199184,0.0647559159405851,0.8236894583263351,1.0,-0.003726996128801655
Late_delivery_risk,0.40141493011152174,-0.3693517719633492,-0.0035643605069140575,-0.00013923280125116683,-0.0007499082512329902,-0.002315501081257859,-0.003726996128801655,1.0
